INFO:bias_exposure:Loading panel 2006-01-01 -> 2019-12-31

  SURVIVORSHIP EXPOSURE — validation survivors, entries scored on 2006-01-01 to 2019-12-31
     excess  >30% off  >60% off  mean DD  verdict                            entry rule
  ----------------------------------------------------------------------------------------------------------------------
    +20,071       85%       52%      59%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.0818 or crosse
    +19,479       86%       52%      59%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1747 or crosse
    +18,252       87%       55%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1277 or sma_50
    +16,526       89%       57%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.0964 or crosse
    +16,490       83%       49%      57%  REFUSE — untestable on this data   (pct_change(sma_200, 5) < -0.0476 or crosses
    +15,816       86%       56%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.07 or crosses_
    +15,713       86%       56%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.0693 or crosse
    +15,331       88%       56%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1164 or crosse
    +14,012       87%       55%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1271 or crosse
    +12,656       85%       50%      58%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.1774 or sma_50
    +12,556       88%       56%      60%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.0964 or crosse
    +12,114       87%       58%      61%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.063 or crosses
    +11,943       86%       55%      58%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.0964 or sma_50
    +11,866       87%       60%      61%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.0594 or sma_50
    +11,590       77%       44%      53%  REFUSE — untestable on this data   (pct_change(sma_200, 10) < -0.0964 or crosse
    +11,355       83%       52%      57%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1277 or sma_50
    +11,347       83%       52%      58%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1277 or crosse
    +11,303       86%       51%      59%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1941 or crosse
    +11,151       86%       52%      59%  REFUSE — untestable on this data   (pct_change(sma_200, 20) < -0.1747 or crosse
     +6,855       14%        5%      11%  ok                                 not((not(cci_20 < 179.864) or pct_change(sma
     +6,078       36%       15%      25%  REFUSE — untestable on this data   pct_change(sma_50, 3) > 0.0302
     +5,969       25%       10%      19%  caution                            pct_change(sma_200, 3) > 0.0208
     +5,929       25%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0216
     +5,336       27%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0266
     +5,223       26%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0221
     +5,110       26%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0234
     +5,096       27%        4%      23%  caution                            not((rank(stoch_k) < 0.6134 or (crosses_abov
     +4,991       26%        4%      22%  caution                            not((rank(stoch_k) < 0.6134 or (crosses_belo
     +4,978       24%        9%      19%  caution                            pct_change(sma_200, 3) > 0.0199
     +4,917       27%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0257
     +4,766       50%       12%      35%  REFUSE — untestable on this data   (roc_10 < -10.9569 and pct_change(macd, 10) 
     +4,275       58%       12%      37%  REFUSE — untestable on this data   (roc_10 < -10.9569 and pct_change(stoch_k, 1
     +4,256       52%       14%      36%  REFUSE — untestable on this data   (roc_10 < -10.9569 and pct_change(macd, 10) 
     +4,253       27%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0263
     +4,052       10%        4%       7%  ok                                 not((not(cci_20 < 179.864) or pct_change(sma
     +4,015       26%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0232
     +3,963       26%       10%      20%  caution                            pct_change(sma_200, 3) > 0.024
     +3,960       53%       10%      35%  REFUSE — untestable on this data   roc_10 < -9.0847
     +3,861       26%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0221
     +3,780       53%       11%      35%  REFUSE — untestable on this data   roc_10 < -9.1019
     +3,622       27%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0257
     +3,615       40%        8%      28%  REFUSE — untestable on this data   (roc_10 < -10.9569 or crosses_above(pct_chan
     +3,594       27%        4%      23%  caution                            not((rank(stoch_d) < 0.5615 or (cci_20 > mac
     +3,530       24%        9%      19%  caution                            pct_change(sma_200, 3) > 0.0199
     +3,457       30%        5%      24%  caution                            not((rank(stoch_d) < 0.6626 or (cci_20 > mac
     +3,420       27%        4%      23%  caution                            not((rank(stoch_k) < 0.6134 or (crosses_belo
     +3,402       10%        4%       7%  ok                                 not((not(cci_20 < 179.864) or pct_change(sma
     +3,398       27%       10%      20%  caution                            pct_change(sma_200, 3) > 0.0263
     +3,395       24%        9%      19%  caution                            pct_change(sma_200, 3) > 0.0199
     +3,389       38%        8%      27%  REFUSE — untestable on this data   (roc_10 < -10.9569 or crosses_above(pct_chan
     +3,346       71%       13%      41%  REFUSE — untestable on this data   (roc_10 < -10.9569 and crosses_above(pct_cha
     +3,318       30%        6%      24%  caution                            not((rank(cci_20) < 0.805 or (cci_20 > macd_
     +2,941       38%        8%      27%  REFUSE — untestable on this data   (roc_10 < -10.9569 or crosses_above(pct_chan
     +2,885       14%        5%      11%  ok                                 not((not(cci_20 < 154.905) or pct_change(sma
     +2,870       27%        4%      23%  caution                            not((rank(willr_14) < 0.805 or (crosses_abov
     +2,845       24%        9%      19%  caution                            pct_change(sma_200, 3) > 0.0199
     +2,812       35%        6%      27%  REFUSE — untestable on this data   (not(not(stoch_k < 9.3633)) or ((chaikin_osc
