INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9964 tickers need features | computing 9964 this run
INFO:build_features:50/9964 tickers | 176,133 feature rows | 0 skipped | 9.3 tickers/s | ETA 17.8 min
INFO:build_features:100/9964 tickers | 363,516 feature rows | 0 skipped | 8.8 tickers/s | ETA 18.7 min
INFO:build_features:150/9964 tickers | 573,359 feature rows | 0 skipped | 8.4 tickers/s | ETA 19.5 min
INFO:build_features:200/9964 tickers | 755,689 feature rows | 0 skipped | 8.6 tickers/s | ETA 19.0 min
INFO:build_features:250/9964 tickers | 928,860 feature rows | 0 skipped | 8.7 tickers/s | ETA 18.5 min
INFO:build_features:300/9964 tickers | 1,117,044 feature rows | 0 skipped | 8.7 tickers/s | ETA 18.6 min
INFO:build_features:350/9964 tickers | 1,295,599 feature rows | 0 skipped | 8.7 tickers/s | ETA 18.3 min
INFO:build_features:400/9964 tickers | 1,461,850 feature rows | 0 skipped | 8.8 tickers/s | ETA 18.0 min
INFO:build_features:450/9964 tickers | 1,638,988 feature rows | 0 skipped | 8.8 tickers/s | ETA 18.0 min
INFO:build_features:500/9964 tickers | 1,776,663 feature rows | 0 skipped | 9.0 tickers/s | ETA 17.6 min
INFO:build_features:550/9964 tickers | 1,930,987 feature rows | 0 skipped | 9.0 tickers/s | ETA 17.4 min
INFO:build_features:600/9964 tickers | 2,123,658 feature rows | 0 skipped | 9.0 tickers/s | ETA 17.3 min
INFO:build_features:650/9964 tickers | 2,311,330 feature rows | 0 skipped | 9.0 tickers/s | ETA 17.3 min
INFO:build_features:700/9964 tickers | 2,415,445 feature rows | 0 skipped | 9.2 tickers/s | ETA 16.8 min
INFO:build_features:750/9964 tickers | 2,635,266 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.9 min
INFO:build_features:800/9964 tickers | 2,789,329 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.8 min
INFO:build_features:850/9964 tickers | 2,964,415 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.7 min
INFO:build_features:900/9964 tickers | 3,150,317 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.7 min
INFO:build_features:950/9964 tickers | 3,295,469 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.5 min
INFO:build_features:1000/9964 tickers | 3,469,814 feature rows | 0 skipped | 9.1 tickers/s | ETA 16.4 min
INFO:build_features:1050/9964 tickers | 3,593,175 feature rows | 0 skipped | 9.2 tickers/s | ETA 16.2 min
INFO:build_features:1100/9964 tickers | 3,740,098 feature rows | 0 skipped | 9.2 tickers/s | ETA 16.1 min
INFO:build_features:1150/9964 tickers | 3,893,553 feature rows | 0 skipped | 9.2 tickers/s | ETA 15.9 min
INFO:build_features:1200/9964 tickers | 4,072,318 feature rows | 0 skipped | 9.2 tickers/s | ETA 15.8 min
INFO:build_features:1250/9964 tickers | 4,224,522 feature rows | 0 skipped | 9.2 tickers/s | ETA 15.7 min
INFO:build_features:1300/9964 tickers | 4,333,629 feature rows | 0 skipped | 9.4 tickers/s | ETA 15.3 min
INFO:build_features:1350/9964 tickers | 4,431,478 feature rows | 0 skipped | 9.5 tickers/s | ETA 15.1 min
INFO:build_features:1400/9964 tickers | 4,647,858 feature rows | 0 skipped | 9.4 tickers/s | ETA 15.1 min
INFO:build_features:1450/9964 tickers | 4,836,537 feature rows | 0 skipped | 9.4 tickers/s | ETA 15.1 min
INFO:build_features:1500/9964 tickers | 4,998,998 feature rows | 0 skipped | 9.4 tickers/s | ETA 15.0 min
INFO:build_features:1550/9964 tickers | 5,167,848 feature rows | 0 skipped | 9.4 tickers/s | ETA 14.9 min
