WARNING:build_features:--rebuild: cleared 33,837,110 existing feature rows
INFO:build_features:Feature types: common_stock, adr, etf, closed_end_fund
INFO:build_features:9975 tickers need features | computing 9975 this run
INFO:build_features:50/9975 tickers | 176,133 feature rows | 0 skipped | 16.7 tickers/s | ETA 9.9 min
INFO:build_features:100/9975 tickers | 363,516 feature rows | 0 skipped | 17.9 tickers/s | ETA 9.2 min
INFO:build_features:150/9975 tickers | 573,359 feature rows | 0 skipped | 17.7 tickers/s | ETA 9.3 min
INFO:build_features:200/9975 tickers | 755,689 feature rows | 0 skipped | 18.2 tickers/s | ETA 9.0 min
INFO:build_features:250/9975 tickers | 928,860 feature rows | 0 skipped | 18.6 tickers/s | ETA 8.7 min
INFO:build_features:300/9975 tickers | 1,117,044 feature rows | 0 skipped | 18.7 tickers/s | ETA 8.6 min
INFO:build_features:350/9975 tickers | 1,295,599 feature rows | 0 skipped | 18.8 tickers/s | ETA 8.5 min
INFO:build_features:400/9975 tickers | 1,461,850 feature rows | 0 skipped | 19.1 tickers/s | ETA 8.4 min
INFO:build_features:450/9975 tickers | 1,638,988 feature rows | 0 skipped | 19.2 tickers/s | ETA 8.3 min
INFO:build_features:500/9975 tickers | 1,776,663 feature rows | 0 skipped | 19.6 tickers/s | ETA 8.1 min
INFO:build_features:550/9975 tickers | 1,930,987 feature rows | 0 skipped | 19.8 tickers/s | ETA 7.9 min
INFO:build_features:600/9975 tickers | 2,123,658 feature rows | 0 skipped | 19.7 tickers/s | ETA 7.9 min
INFO:build_features:650/9975 tickers | 2,310,595 feature rows | 0 skipped | 19.6 tickers/s | ETA 7.9 min
INFO:build_features:700/9975 tickers | 2,414,536 feature rows | 0 skipped | 20.0 tickers/s | ETA 7.7 min
INFO:build_features:750/9975 tickers | 2,634,831 feature rows | 0 skipped | 19.8 tickers/s | ETA 7.8 min
INFO:build_features:800/9975 tickers | 2,787,834 feature rows | 0 skipped | 20.0 tickers/s | ETA 7.7 min
INFO:build_features:850/9975 tickers | 2,963,501 feature rows | 0 skipped | 20.0 tickers/s | ETA 7.6 min
INFO:build_features:900/9975 tickers | 3,150,465 feature rows | 0 skipped | 19.9 tickers/s | ETA 7.6 min
INFO:build_features:950/9975 tickers | 3,292,565 feature rows | 0 skipped | 20.1 tickers/s | ETA 7.5 min
INFO:build_features:1000/9975 tickers | 3,463,612 feature rows | 0 skipped | 20.1 tickers/s | ETA 7.4 min
INFO:build_features:1050/9975 tickers | 3,592,069 feature rows | 0 skipped | 20.3 tickers/s | ETA 7.3 min
INFO:build_features:1100/9975 tickers | 3,739,189 feature rows | 0 skipped | 20.4 tickers/s | ETA 7.3 min
INFO:build_features:1150/9975 tickers | 3,893,324 feature rows | 0 skipped | 20.5 tickers/s | ETA 7.2 min
INFO:build_features:1200/9975 tickers | 4,072,463 feature rows | 0 skipped | 20.4 tickers/s | ETA 7.2 min
INFO:build_features:1250/9975 tickers | 4,222,951 feature rows | 0 skipped | 20.5 tickers/s | ETA 7.1 min
INFO:build_features:1300/9975 tickers | 4,328,987 feature rows | 0 skipped | 20.7 tickers/s | ETA 7.0 min
INFO:build_features:1350/9975 tickers | 4,426,041 feature rows | 0 skipped | 20.9 tickers/s | ETA 6.9 min
INFO:build_features:1400/9975 tickers | 4,637,069 feature rows | 0 skipped | 20.8 tickers/s | ETA 6.9 min
INFO:build_features:1450/9975 tickers | 4,838,147 feature rows | 0 skipped | 20.7 tickers/s | ETA 6.9 min
INFO:build_features:1500/9975 tickers | 4,973,813 feature rows | 0 skipped | 20.8 tickers/s | ETA 6.8 min
INFO:build_features:1550/9975 tickers | 5,162,055 feature rows | 0 skipped | 20.7 tickers/s | ETA 6.8 min
INFO:build_features:1600/9975 tickers | 5,318,362 feature rows | 0 skipped | 20.7 tickers/s | ETA 6.7 min
INFO:build_features:1650/9975 tickers | 5,474,301 feature rows | 0 skipped | 20.7 tickers/s | ETA 6.7 min
INFO:build_features:1700/9975 tickers | 5,716,003 feature rows | 0 skipped | 20.5 tickers/s | ETA 6.7 min
INFO:build_features:1750/9975 tickers | 5,911,120 feature rows | 0 skipped | 20.4 tickers/s | ETA 6.7 min
INFO:build_features:1800/9975 tickers | 6,145,298 feature rows | 0 skipped | 20.3 tickers/s | ETA 6.7 min
INFO:build_features:1850/9975 tickers | 6,316,927 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.7 min
INFO:build_features:1900/9975 tickers | 6,462,759 feature rows | 0 skipped | 20.3 tickers/s | ETA 6.6 min
INFO:build_features:1950/9975 tickers | 6,615,704 feature rows | 0 skipped | 20.3 tickers/s | ETA 6.6 min
INFO:build_features:2000/9975 tickers | 6,801,003 feature rows | 0 skipped | 20.3 tickers/s | ETA 6.6 min
INFO:build_features:2050/9975 tickers | 6,994,549 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.5 min
INFO:build_features:2100/9975 tickers | 7,239,597 feature rows | 0 skipped | 20.1 tickers/s | ETA 6.5 min
INFO:build_features:2150/9975 tickers | 7,426,111 feature rows | 0 skipped | 20.1 tickers/s | ETA 6.5 min
INFO:build_features:2200/9975 tickers | 7,596,259 feature rows | 0 skipped | 20.1 tickers/s | ETA 6.5 min
INFO:build_features:2250/9975 tickers | 7,685,328 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.4 min
INFO:build_features:2300/9975 tickers | 7,846,899 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.3 min
INFO:build_features:2350/9975 tickers | 8,035,259 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.3 min
INFO:build_features:2400/9975 tickers | 8,198,918 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.2 min
INFO:build_features:2450/9975 tickers | 8,373,375 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.2 min
INFO:build_features:2500/9975 tickers | 8,511,407 feature rows | 0 skipped | 20.3 tickers/s | ETA 6.1 min
INFO:build_features:2550/9975 tickers | 8,691,563 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.1 min
INFO:build_features:2600/9975 tickers | 8,880,719 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.1 min
INFO:build_features:2650/9975 tickers | 9,087,545 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.1 min
INFO:build_features:2700/9975 tickers | 9,249,881 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.0 min
INFO:build_features:2750/9975 tickers | 9,400,830 feature rows | 0 skipped | 20.2 tickers/s | ETA 6.0 min
INFO:build_features:2800/9975 tickers | 9,581,487 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.9 min
INFO:build_features:2850/9975 tickers | 9,800,396 feature rows | 0 skipped | 20.1 tickers/s | ETA 5.9 min
INFO:build_features:2900/9975 tickers | 9,948,996 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.9 min
INFO:build_features:2950/9975 tickers | 10,161,892 feature rows | 0 skipped | 20.1 tickers/s | ETA 5.8 min
INFO:build_features:3000/9975 tickers | 10,397,609 feature rows | 0 skipped | 20.0 tickers/s | ETA 5.8 min
INFO:build_features:3050/9975 tickers | 10,556,746 feature rows | 0 skipped | 20.0 tickers/s | ETA 5.8 min
INFO:build_features:3100/9975 tickers | 10,714,306 feature rows | 0 skipped | 20.1 tickers/s | ETA 5.7 min
INFO:build_features:3150/9975 tickers | 10,848,676 feature rows | 0 skipped | 20.1 tickers/s | ETA 5.7 min
INFO:build_features:3200/9975 tickers | 10,972,321 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.6 min
INFO:build_features:3250/9975 tickers | 11,106,418 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.5 min
INFO:build_features:3300/9975 tickers | 11,266,372 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.5 min
INFO:build_features:3350/9975 tickers | 11,413,940 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.4 min
INFO:build_features:3400/9975 tickers | 11,576,204 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.4 min
INFO:build_features:3450/9975 tickers | 11,765,367 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.4 min
INFO:build_features:3500/9975 tickers | 11,883,742 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.3 min
INFO:build_features:3550/9975 tickers | 12,084,766 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.3 min
INFO:build_features:3600/9975 tickers | 12,299,655 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.3 min
INFO:build_features:3650/9975 tickers | 12,466,907 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.2 min
INFO:build_features:3700/9975 tickers | 12,645,638 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.2 min
INFO:build_features:3750/9975 tickers | 12,810,845 feature rows | 0 skipped | 20.2 tickers/s | ETA 5.1 min
INFO:build_features:3800/9975 tickers | 12,933,152 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.1 min
INFO:build_features:3850/9975 tickers | 13,093,853 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.0 min
INFO:build_features:3900/9975 tickers | 13,234,938 feature rows | 0 skipped | 20.3 tickers/s | ETA 5.0 min
INFO:build_features:3950/9975 tickers | 13,393,897 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.9 min
INFO:build_features:4000/9975 tickers | 13,562,475 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.9 min
INFO:build_features:4050/9975 tickers | 13,728,487 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.9 min
INFO:build_features:4100/9975 tickers | 13,863,531 feature rows | 0 skipped | 20.4 tickers/s | ETA 4.8 min
INFO:build_features:4150/9975 tickers | 14,058,629 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.8 min
INFO:build_features:4200/9975 tickers | 14,290,381 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.7 min
INFO:build_features:4250/9975 tickers | 14,505,268 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.7 min
INFO:build_features:4300/9975 tickers | 14,666,699 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.7 min
INFO:build_features:4350/9975 tickers | 14,758,233 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.6 min
INFO:build_features:4400/9975 tickers | 14,906,376 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.6 min
INFO:build_features:4450/9975 tickers | 15,097,204 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.5 min
INFO:build_features:4500/9975 tickers | 15,316,655 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.5 min
INFO:build_features:4550/9975 tickers | 15,478,456 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.5 min
INFO:build_features:4600/9975 tickers | 15,630,002 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.4 min
INFO:build_features:4650/9975 tickers | 15,820,201 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.4 min
INFO:build_features:4700/9975 tickers | 15,960,432 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.3 min
INFO:build_features:4750/9975 tickers | 16,122,132 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.3 min
INFO:build_features:4800/9975 tickers | 16,361,172 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.3 min
INFO:build_features:4850/9975 tickers | 16,515,501 feature rows | 0 skipped | 20.2 tickers/s | ETA 4.2 min
INFO:build_features:4900/9975 tickers | 16,619,997 feature rows | 0 skipped | 20.3 tickers/s | ETA 4.2 min
