INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_nasdaqlisted.txt
INFO:universe:Snapshot saved: data/symbol_snapshots/2026-09-12_otherlisted.txt
INFO:universe:Symbol directory: 5605 NASDAQ rows, 7609 other-listed rows.
INFO:universe:Universe: 13181 listings — etf 5672, common_stock 5376, preferred 466, warrant 439, unit 372, adr 276, closed_end_fund 273, note 165, right 129, etn 13
INFO:backfill:Top-up mode: 13,114 tickers behind the latest bar
INFO:backfill:Universe 13181 tickers | 67 done | 13114 outstanding | fetching 13114 this run | period=3mo
ERROR:yfinance:$NMCO-RT: No data found, symbol may be delisted
ERROR:yfinance:
1 Failed download:
ERROR:yfinance:['NMCO-RT']: No data found, symbol may be delisted
INFO:backfill:batch 1 | 50/13114 tickers | 2,838 rows | 1 failed | 18.0 tickers/s | ETA 12.1 min
WARNING:storage:ACAAW: rejected 1 rows with impossible prices (negative or high<low)
INFO:backfill:batch 2 | 100/13114 tickers | 5,863 rows | 1 failed | 16.3 tickers/s | ETA 13.3 min
INFO:backfill:batch 3 | 150/13114 tickers | 8,732 rows | 1 failed | 15.9 tickers/s | ETA 13.6 min
INFO:backfill:batch 4 | 200/13114 tickers | 11,685 rows | 1 failed | 15.4 tickers/s | ETA 13.9 min
INFO:backfill:batch 5 | 250/13114 tickers | 14,127 rows | 1 failed | 14.9 tickers/s | ETA 14.3 min
INFO:backfill:batch 6 | 300/13114 tickers | 17,153 rows | 1 failed | 14.9 tickers/s | ETA 14.3 min
INFO:backfill:batch 7 | 350/13114 tickers | 20,257 rows | 1 failed | 15.0 tickers/s | ETA 14.2 min
INFO:backfill:batch 8 | 400/13114 tickers | 23,151 rows | 1 failed | 15.1 tickers/s | ETA 14.0 min
INFO:backfill:batch 9 | 450/13114 tickers | 26,052 rows | 1 failed | 15.3 tickers/s | ETA 13.8 min
INFO:backfill:batch 10 | 500/13114 tickers | 28,929 rows | 1 failed | 15.3 tickers/s | ETA 13.7 min
INFO:backfill:batch 11 | 550/13114 tickers | 31,885 rows | 1 failed | 15.3 tickers/s | ETA 13.7 min
INFO:backfill:batch 12 | 600/13114 tickers | 34,797 rows | 1 failed | 15.4 tickers/s | ETA 13.6 min
INFO:backfill:batch 13 | 650/13114 tickers | 37,682 rows | 1 failed | 15.4 tickers/s | ETA 13.5 min
INFO:backfill:batch 14 | 700/13114 tickers | 40,577 rows | 1 failed | 15.4 tickers/s | ETA 13.4 min
INFO:backfill:batch 15 | 750/13114 tickers | 43,447 rows | 1 failed | 15.5 tickers/s | ETA 13.3 min
INFO:backfill:batch 16 | 800/13114 tickers | 46,395 rows | 1 failed | 15.4 tickers/s | ETA 13.3 min
INFO:backfill:batch 17 | 850/13114 tickers | 49,286 rows | 1 failed | 15.5 tickers/s | ETA 13.2 min
INFO:backfill:batch 18 | 900/13114 tickers | 52,193 rows | 1 failed | 15.6 tickers/s | ETA 13.0 min
INFO:backfill:batch 19 | 950/13114 tickers | 55,148 rows | 1 failed | 15.6 tickers/s | ETA 13.0 min
INFO:backfill:batch 20 | 1000/13114 tickers | 58,287 rows | 1 failed | 15.6 tickers/s | ETA 12.9 min
INFO:backfill:batch 21 | 1050/13114 tickers | 61,313 rows | 1 failed | 15.6 tickers/s | ETA 12.9 min
INFO:backfill:batch 22 | 1100/13114 tickers | 64,292 rows | 1 failed | 15.7 tickers/s | ETA 12.8 min
INFO:backfill:batch 23 | 1150/13114 tickers | 67,329 rows | 1 failed | 15.7 tickers/s | ETA 12.7 min
INFO:backfill:batch 24 | 1200/13114 tickers | 70,250 rows | 1 failed | 15.7 tickers/s | ETA 12.6 min
INFO:backfill:batch 25 | 1250/13114 tickers | 73,007 rows | 1 failed | 15.7 tickers/s | ETA 12.6 min
INFO:backfill:batch 26 | 1300/13114 tickers | 75,731 rows | 1 failed | 15.7 tickers/s | ETA 12.5 min
INFO:backfill:batch 27 | 1350/13114 tickers | 78,665 rows | 1 failed | 15.7 tickers/s | ETA 12.5 min
INFO:backfill:batch 28 | 1400/13114 tickers | 81,513 rows | 1 failed | 15.7 tickers/s | ETA 12.5 min
INFO:backfill:batch 29 | 1450/13114 tickers | 84,509 rows | 1 failed | 15.6 tickers/s | ETA 12.5 min
INFO:backfill:batch 30 | 1500/13114 tickers | 87,529 rows | 1 failed | 15.5 tickers/s | ETA 12.5 min
INFO:backfill:batch 31 | 1550/13114 tickers | 90,455 rows | 1 failed | 15.5 tickers/s | ETA 12.4 min
INFO:backfill:batch 32 | 1600/13114 tickers | 93,338 rows | 1 failed | 15.6 tickers/s | ETA 12.3 min
INFO:backfill:batch 33 | 1650/13114 tickers | 96,426 rows | 1 failed | 15.5 tickers/s | ETA 12.3 min
INFO:backfill:batch 34 | 1700/13114 tickers | 99,355 rows | 1 failed | 15.5 tickers/s | ETA 12.3 min
INFO:backfill:batch 35 | 1750/13114 tickers | 102,257 rows | 1 failed | 15.4 tickers/s | ETA 12.3 min
INFO:backfill:batch 36 | 1800/13114 tickers | 105,262 rows | 1 failed | 15.4 tickers/s | ETA 12.3 min
INFO:backfill:batch 37 | 1850/13114 tickers | 108,383 rows | 1 failed | 15.4 tickers/s | ETA 12.2 min
INFO:backfill:batch 38 | 1900/13114 tickers | 111,454 rows | 1 failed | 15.4 tickers/s | ETA 12.1 min
INFO:backfill:batch 39 | 1950/13114 tickers | 114,371 rows | 1 failed | 15.4 tickers/s | ETA 12.1 min
INFO:backfill:batch 40 | 2000/13114 tickers | 117,274 rows | 1 failed | 15.3 tickers/s | ETA 12.1 min
INFO:backfill:batch 41 | 2050/13114 tickers | 120,362 rows | 1 failed | 15.4 tickers/s | ETA 12.0 min
INFO:backfill:batch 42 | 2100/13114 tickers | 123,338 rows | 1 failed | 15.3 tickers/s | ETA 12.0 min
INFO:backfill:batch 43 | 2150/13114 tickers | 126,260 rows | 1 failed | 15.3 tickers/s | ETA 11.9 min
INFO:backfill:batch 44 | 2200/13114 tickers | 129,307 rows | 1 failed | 15.3 tickers/s | ETA 11.9 min
INFO:backfill:batch 45 | 2250/13114 tickers | 132,256 rows | 1 failed | 15.3 tickers/s | ETA 11.8 min
INFO:backfill:batch 46 | 2300/13114 tickers | 135,286 rows | 1 failed | 15.3 tickers/s | ETA 11.8 min
INFO:backfill:batch 47 | 2350/13114 tickers | 138,284 rows | 1 failed | 15.3 tickers/s | ETA 11.7 min
INFO:backfill:batch 48 | 2400/13114 tickers | 141,372 rows | 1 failed | 15.4 tickers/s | ETA 11.6 min
INFO:backfill:batch 49 | 2450/13114 tickers | 144,398 rows | 1 failed | 15.4 tickers/s | ETA 11.6 min
INFO:backfill:batch 50 | 2500/13114 tickers | 147,417 rows | 1 failed | 15.4 tickers/s | ETA 11.5 min
INFO:backfill:batch 51 | 2550/13114 tickers | 150,140 rows | 1 failed | 15.4 tickers/s | ETA 11.4 min
INFO:backfill:batch 52 | 2600/13114 tickers | 153,290 rows | 1 failed | 15.4 tickers/s | ETA 11.4 min
INFO:backfill:batch 53 | 2650/13114 tickers | 156,172 rows | 1 failed | 15.5 tickers/s | ETA 11.3 min
INFO:backfill:batch 54 | 2700/13114 tickers | 159,105 rows | 1 failed | 15.5 tickers/s | ETA 11.2 min
INFO:backfill:batch 55 | 2750/13114 tickers | 162,029 rows | 1 failed | 15.5 tickers/s | ETA 11.2 min
INFO:backfill:batch 56 | 2800/13114 tickers | 165,100 rows | 1 failed | 15.5 tickers/s | ETA 11.1 min
INFO:backfill:batch 57 | 2850/13114 tickers | 168,123 rows | 1 failed | 15.5 tickers/s | ETA 11.0 min
INFO:backfill:batch 58 | 2900/13114 tickers | 170,983 rows | 1 failed | 15.5 tickers/s | ETA 11.0 min
INFO:backfill:batch 59 | 2950/13114 tickers | 174,037 rows | 1 failed | 15.5 tickers/s | ETA 11.0 min
INFO:backfill:batch 60 | 3000/13114 tickers | 177,153 rows | 1 failed | 15.5 tickers/s | ETA 10.9 min
INFO:backfill:batch 61 | 3050/13114 tickers | 180,131 rows | 1 failed | 15.5 tickers/s | ETA 10.8 min
INFO:backfill:batch 62 | 3100/13114 tickers | 183,110 rows | 1 failed | 15.5 tickers/s | ETA 10.8 min
INFO:backfill:batch 63 | 3150/13114 tickers | 186,131 rows | 1 failed | 15.5 tickers/s | ETA 10.7 min
INFO:backfill:batch 64 | 3200/13114 tickers | 189,121 rows | 1 failed | 15.5 tickers/s | ETA 10.7 min
INFO:backfill:batch 65 | 3250/13114 tickers | 192,188 rows | 1 failed | 15.5 tickers/s | ETA 10.6 min
INFO:backfill:batch 66 | 3300/13114 tickers | 194,991 rows | 1 failed | 15.5 tickers/s | ETA 10.5 min
INFO:backfill:batch 67 | 3350/13114 tickers | 198,039 rows | 1 failed | 15.5 tickers/s | ETA 10.5 min
INFO:backfill:batch 68 | 3400/13114 tickers | 201,065 rows | 1 failed | 15.5 tickers/s | ETA 10.5 min
INFO:backfill:batch 69 | 3450/13114 tickers | 204,203 rows | 1 failed | 15.4 tickers/s | ETA 10.4 min
INFO:backfill:batch 70 | 3500/13114 tickers | 207,229 rows | 1 failed | 15.4 tickers/s | ETA 10.4 min
INFO:backfill:batch 71 | 3550/13114 tickers | 210,317 rows | 1 failed | 15.4 tickers/s | ETA 10.3 min
INFO:backfill:batch 72 | 3600/13114 tickers | 213,435 rows | 1 failed | 15.5 tickers/s | ETA 10.2 min
INFO:backfill:batch 73 | 3650/13114 tickers | 216,475 rows | 1 failed | 15.5 tickers/s | ETA 10.2 min
INFO:backfill:batch 74 | 3700/13114 tickers | 219,355 rows | 1 failed | 15.5 tickers/s | ETA 10.1 min
INFO:backfill:batch 75 | 3750/13114 tickers | 222,478 rows | 1 failed | 15.5 tickers/s | ETA 10.1 min
INFO:backfill:batch 76 | 3800/13114 tickers | 225,504 rows | 1 failed | 15.5 tickers/s | ETA 10.0 min
INFO:backfill:batch 77 | 3850/13114 tickers | 228,468 rows | 1 failed | 15.5 tickers/s | ETA 10.0 min
INFO:backfill:batch 78 | 3900/13114 tickers | 231,327 rows | 1 failed | 15.5 tickers/s | ETA 9.9 min
INFO:backfill:batch 79 | 3950/13114 tickers | 234,402 rows | 1 failed | 15.5 tickers/s | ETA 9.9 min
INFO:backfill:batch 80 | 4000/13114 tickers | 237,195 rows | 1 failed | 15.5 tickers/s | ETA 9.8 min
INFO:backfill:batch 81 | 4050/13114 tickers | 240,270 rows | 1 failed | 15.5 tickers/s | ETA 9.7 min
INFO:backfill:batch 82 | 4100/13114 tickers | 243,245 rows | 1 failed | 15.5 tickers/s | ETA 9.7 min
INFO:backfill:batch 83 | 4150/13114 tickers | 246,309 rows | 1 failed | 15.6 tickers/s | ETA 9.6 min
INFO:backfill:batch 84 | 4200/13114 tickers | 249,293 rows | 1 failed | 15.5 tickers/s | ETA 9.6 min
INFO:backfill:batch 85 | 4250/13114 tickers | 252,356 rows | 1 failed | 15.5 tickers/s | ETA 9.5 min
INFO:backfill:batch 86 | 4300/13114 tickers | 255,250 rows | 1 failed | 15.6 tickers/s | ETA 9.4 min
INFO:backfill:batch 87 | 4350/13114 tickers | 258,338 rows | 1 failed | 15.6 tickers/s | ETA 9.4 min
INFO:backfill:batch 88 | 4400/13114 tickers | 261,362 rows | 1 failed | 15.6 tickers/s | ETA 9.3 min
INFO:backfill:batch 89 | 4450/13114 tickers | 264,397 rows | 1 failed | 15.6 tickers/s | ETA 9.3 min
INFO:backfill:batch 90 | 4500/13114 tickers | 267,489 rows | 1 failed | 15.6 tickers/s | ETA 9.2 min
INFO:backfill:batch 91 | 4550/13114 tickers | 270,444 rows | 1 failed | 15.6 tickers/s | ETA 9.2 min
INFO:backfill:batch 92 | 4600/13114 tickers | 273,379 rows | 1 failed | 15.6 tickers/s | ETA 9.1 min
INFO:backfill:batch 93 | 4650/13114 tickers | 276,247 rows | 1 failed | 15.6 tickers/s | ETA 9.1 min
INFO:backfill:batch 94 | 4700/13114 tickers | 279,303 rows | 1 failed | 15.6 tickers/s | ETA 9.0 min
INFO:backfill:batch 95 | 4750/13114 tickers | 282,201 rows | 1 failed | 15.6 tickers/s | ETA 8.9 min
INFO:backfill:batch 96 | 4800/13114 tickers | 285,286 rows | 1 failed | 15.6 tickers/s | ETA 8.9 min
INFO:backfill:batch 97 | 4850/13114 tickers | 288,077 rows | 1 failed | 15.6 tickers/s | ETA 8.8 min
INFO:backfill:batch 98 | 4900/13114 tickers | 290,945 rows | 1 failed | 15.6 tickers/s | ETA 8.8 min
INFO:backfill:batch 99 | 4950/13114 tickers | 293,837 rows | 1 failed | 15.6 tickers/s | ETA 8.7 min
INFO:backfill:batch 100 | 5000/13114 tickers | 296,947 rows | 1 failed | 15.6 tickers/s | ETA 8.7 min
INFO:backfill:batch 101 | 5050/13114 tickers | 299,958 rows | 1 failed | 15.6 tickers/s | ETA 8.6 min
INFO:backfill:batch 102 | 5100/13114 tickers | 302,912 rows | 1 failed | 15.7 tickers/s | ETA 8.5 min
INFO:backfill:batch 103 | 5150/13114 tickers | 305,925 rows | 1 failed | 15.7 tickers/s | ETA 8.5 min
INFO:backfill:batch 104 | 5200/13114 tickers | 308,812 rows | 1 failed | 15.7 tickers/s | ETA 8.4 min
INFO:backfill:batch 105 | 5250/13114 tickers | 311,833 rows | 1 failed | 15.7 tickers/s | ETA 8.3 min
INFO:backfill:batch 106 | 5300/13114 tickers | 314,598 rows | 1 failed | 15.7 tickers/s | ETA 8.3 min
INFO:backfill:batch 107 | 5350/13114 tickers | 317,686 rows | 1 failed | 15.7 tickers/s | ETA 8.3 min
INFO:backfill:batch 108 | 5400/13114 tickers | 320,755 rows | 1 failed | 15.7 tickers/s | ETA 8.2 min
INFO:backfill:batch 109 | 5450/13114 tickers | 323,799 rows | 1 failed | 15.7 tickers/s | ETA 8.2 min
INFO:backfill:batch 110 | 5500/13114 tickers | 326,698 rows | 1 failed | 15.7 tickers/s | ETA 8.1 min
INFO:backfill:batch 111 | 5550/13114 tickers | 329,662 rows | 1 failed | 15.7 tickers/s | ETA 8.0 min
INFO:backfill:batch 112 | 5600/13114 tickers | 332,298 rows | 1 failed | 15.7 tickers/s | ETA 8.0 min
INFO:backfill:batch 113 | 5650/13114 tickers | 335,131 rows | 1 failed | 15.7 tickers/s | ETA 7.9 min
INFO:backfill:batch 114 | 5700/13114 tickers | 338,281 rows | 1 failed | 15.7 tickers/s | ETA 7.9 min
